Country,Year,Gender,Metric,Value
Belize,2015,Female,Vulnerable Employment,24.8105593
Belize,2015,Male,Vulnerable Employment,26.98772202
Benin,2015,Female,Employment to population ratio,60.949
Benin,2015,Male,Employment to population ratio,70.381
Benin,2015,Female,Labour Force Participation Rate,62.232
Benin,2015,Male,Labour Force Participation Rate,71.516
Benin,2015,Female,Vulnerable Employment,84.2812773
Benin,2015,Male,Vulnerable Employment,72.81174923
Bhutan,2015,Female,Employment to population ratio,53.268
Bhutan,2015,Male,Employment to population ratio,68.73
Bhutan,2015,Female,Labour Force Participation Rate,55.063
Bhutan,2015,Male,Labour Force Participation Rate,70.064
Bhutan,2015,Female,Vulnerable Employment,85.0825622
Bhutan,2015,Male,Vulnerable Employment,64.67769015
Bolivia,2015,Female,Employment to population ratio,52.531
Bolivia,2015,Male,Employment to population ratio,77.453
Bolivia,2015,Female,Labour Force Participation Rate,54.61
Bolivia,2015,Male,Labour Force Participation Rate,79.546
Bolivia,2015,Female,Vulnerable Employment,64.1275206
Bolivia,2015,Male,Vulnerable Employment,51.46814503
Bosnia and Herzegovina,2015,Female,Employment to population ratio,24.567
Bosnia and Herzegovina,2015,Male,Employment to population ratio,42.939
Bosnia and Herzegovina,2015,Female,Labour Force Participation Rate,35.433
Bosnia and Herzegovina,2015,Male,Labour Force Participation Rate,57.837
Bosnia and Herzegovina,2015,Female,Part Time Employment,18.42
Bosnia and Herzegovina,2015,Male,Part Time Employment,12.58
Bosnia and Herzegovina,2015,Female,Vulnerable Employment,19.31246033
Bosnia and Herzegovina,2015,Male,Vulnerable Employment,20.75511918
Botswana,2015,Female,Employment to population ratio,43.933
Botswana,2015,Male,Employment to population ratio,56.73
Botswana,2015,Female,Labour Force Participation Rate,55.983
Botswana,2015,Male,Labour Force Participation Rate,67.993
Botswana,2015,Female,Vulnerable Employment,29.40879792
Botswana,2015,Male,Vulnerable Employment,27.90558279
Brazil,2015,Female,Employment to population ratio,47.501
Brazil,2015,Male,Employment to population ratio,69.789
Brazil,2015,Female,Labour Force Participation Rate,52.959
Brazil,2015,Male,Labour Force Participation Rate,75.229
Brazil,2015,Female,Part Time Employment,35.11
Brazil,2015,Male,Part Time Employment,19.23
Brazil,2015,Female,Vulnerable Employment,21.72601995
Brazil,2015,Male,Vulnerable Employment,29.50254113
Brunei Darussalam,2015,Female,Employment to population ratio,51.473
Brunei Darussalam,2015,Male,Employment to population ratio,66.071
Brunei Darussalam,2015,Female,Labour Force Participation Rate,56.297
Brunei Darussalam,2015,Male,Labour Force Participation Rate,71.069
Brunei Darussalam,2015,Female,Vulnerable Employment,5.544514349
Brunei Darussalam,2015,Male,Vulnerable Employment,4.90447312
Bulgaria,2015,Female,Employment to population ratio,44.486
Bulgaria,2015,Male,Employment to population ratio,54.159
Bulgaria,2015,Female,Labour Force Participation Rate,48.573
Bulgaria,2015,Male,Labour Force Participation Rate,60.027
Bulgaria,2015,Female,Part Time Employment,12.93
Bulgaria,2015,Male,Part Time Employment,8.37
Bulgaria,2015,Female,Vulnerable Employment,6.863425496
Bulgaria,2015,Male,Vulnerable Employment,9.871487667
Burkina Faso,2015,Female,Employment to population ratio,55.015
Burkina Faso,2015,Male,Employment to population ratio,70.561
Burkina Faso,2015,Female,Labour Force Participation Rate,57.69
Burkina Faso,2015,Male,Labour Force Participation Rate,73.836
Burkina Faso,2015,Female,Vulnerable Employment,90.02154538
Burkina Faso,2015,Male,Vulnerable Employment,83.78283849
Burundi,2015,Female,Employment to population ratio,79.579
Burundi,2015,Male,Employment to population ratio,76.584
Burundi,2015,Female,Labour Force Participation Rate,80.502
Burundi,2015,Male,Labour Force Participation Rate,78.078
Burundi,2015,Female,Vulnerable Employment,93.84963498
Burundi,2015,Male,Vulnerable Employment,77.77543516
Cabo Verde,2015,Female,Employment to population ratio,44.646
Cabo Verde,2015,Male,Employment to population ratio,59.725
Cabo Verde,2015,Female,Labour Force Participation Rate,50.949
Cabo Verde,2015,Male,Labour Force Participation Rate,67.586
Cabo Verde,2015,Female,Vulnerable Employment,47.80374307
Cabo Verde,2015,Male,Vulnerable Employment,27.98791415
Cambodia,2015,Female,Employment to population ratio,64.735
Cambodia,2015,Male,Employment to population ratio,78.094
Cambodia,2015,Female,Labour Force Participation Rate,65.033
Cambodia,2015,Male,Labour Force Participation Rate,78.352
Cambodia,2015,Female,Vulnerable Employment,57.79854261
Cambodia,2015,Male,Vulnerable Employment,47.46720506
Cameroon,2015,Female,Employment to population ratio,64.344
Cameroon,2015,Male,Employment to population ratio,74.83
Cameroon,2015,Female,Labour Force Participation Rate,67.04
Cameroon,2015,Male,Labour Force Participation Rate,77.185
Cameroon,2015,Female,Vulnerable Employment,83.64875052
Cameroon,2015,Male,Vulnerable Employment,65.83612684
Canada,2015,Female,Employment to population ratio,57.348
Canada,2015,Male,Employment to population ratio,65.286
Canada,2015,Female,Labour Force Participation Rate,61.213
Canada,2015,Male,Labour Force Participation Rate,70.592
Canada,2015,Female,Part Time Employment,51.78
Canada,2015,Male,Part Time Employment,32.92
Canada,2015,Female,Vulnerable Employment,9.224615533
Canada,2015,Male,Vulnerable Employment,11.90037428
Central African Republic,2015,Female,Employment to population ratio,58.651
Central African Republic,2015,Male,Employment to population ratio,74.672
Central African Republic,2015,Female,Labour Force Participation Rate,63.007
Central African Republic,2015,Male,Labour Force Participation Rate,78.835
Central African Republic,2015,Female,Vulnerable Employment,97.10771546
Central African Republic,2015,Male,Vulnerable Employment,88.67209695
Chad,2015,Female,Employment to population ratio,50.151
Chad,2015,Male,Employment to population ratio,71.972
Chad,2015,Female,Labour Force Participation Rate,50.464
Chad,2015,Male,Labour Force Participation Rate,72.808
Chad,2015,Female,Vulnerable Employment,97.00369678
Chad,2015,Male,Vulnerable Employment,85.28610803
Channel Islands,2015,Female,Employment to population ratio,47.332
Channel Islands,2015,Male,Employment to population ratio,62.089
Channel Islands,2015,Female,Labour Force Participation Rate,51.553
Channel Islands,2015,Male,Labour Force Participation Rate,67.343
Channel Islands,2015,Female,Vulnerable Employment,9.105222506
Channel Islands,2015,Male,Vulnerable Employment,13.29312934
Chile,2015,Female,Employment to population ratio,44.98
Chile,2015,Male,Employment to population ratio,67.376
Chile,2015,Female,Labour Force Participation Rate,48.431
Chile,2015,Male,Labour Force Participation Rate,71.712
Chile,2015,Female,Part Time Employment,37.62
Chile,2015,Male,Part Time Employment,21.82
Chile,2015,Female,Vulnerable Employment,22.92278825
Chile,2015,Male,Vulnerable Employment,20.6488348
China,2015,Female,Employment to population ratio,60.133
China,2015,Male,Employment to population ratio,71.888
China,2015,Female,Labour Force Participation Rate,62.662
China,2015,Male,Labour Force Participation Rate,75.788
China,2015,Female,Vulnerable Employment,45.98763276
China,2015,Male,Vulnerable Employment,43.32878162
Colombia,2015,Female,Employment to population ratio,49.121
Colombia,2015,Male,Employment to population ratio,73.997
Colombia,2015,Female,Labour Force Participation Rate,55.265
Colombia,2015,Male,Labour Force Participation Rate,79.321
Colombia,2015,Female,Part Time Employment,38.51
Colombia,2015,Male,Part Time Employment,18.74
Colombia,2015,Female,Vulnerable Employment,47.22549541
Colombia,2015,Male,Vulnerable Employment,47.30374117
Comoros,2015,Female,Employment to population ratio,30.977
Comoros,2015,Male,Employment to population ratio,53.658
Comoros,2015,Female,Labour Force Participation Rate,32.764
Comoros,2015,Male,Labour Force Participation Rate,56.197
Comoros,2015,Female,Vulnerable Employment,69.05425316
Comoros,2015,Male,Vulnerable Employment,50.65834473
"Congo, Dem. Rep.",2015,Female,Employment to population ratio,60.234
"Congo, Dem. Rep.",2015,Male,Employment to population ratio,66.064
"Congo, Dem. Rep.",2015,Female,Labour Force Participation Rate,62.464
"Congo, Dem. Rep.",2015,Male,Labour Force Participation Rate,69.715
"Congo, Dem. Rep.",2015,Female,Vulnerable Employment,90.40213632
"Congo, Dem. Rep.",2015,Male,Vulnerable Employment,72.6511051
"Congo, Rep.",2015,Female,Employment to population ratio,52.332
"Congo, Rep.",2015,Male,Employment to population ratio,56.158
"Congo, Rep.",2015,Female,Labour Force Participation Rate,66.731
"Congo, Rep.",2015,Male,Labour Force Participation Rate,69.332
"Congo, Rep.",2015,Female,Vulnerable Employment,89.67203007
"Congo, Rep.",2015,Male,Vulnerable Employment,61.78079495
Costa Rica,2015,Female,Employment to population ratio,44.715
Costa Rica,2015,Male,Employment to population ratio,70.392
Costa Rica,2015,Female,Labour Force Participation Rate,49.892
Costa Rica,2015,Male,Labour Force Participation Rate,75.794
Costa Rica,2015,Female,Part Time Employment,37.6
Costa Rica,2015,Male,Part Time Employment,19.29
Costa Rica,2015,Female,Vulnerable Employment,24.89136283
Costa Rica,2015,Male,Vulnerable Employment,27.58168657
Cote d'Ivoire,2015,Female,Employment to population ratio,52.965
Cote d'Ivoire,2015,Male,Employment to population ratio,73.006
Cote d'Ivoire,2015,Female,Labour Force Participation Rate,54.675
Cote d'Ivoire,2015,Male,Labour Force Participation Rate,74.584
Cote d'Ivoire,2015,Female,Vulnerable Employment,85.44708915
Cote d'Ivoire,2015,Male,Vulnerable Employment,65.68935747
Croatia,2015,Female,Employment to population ratio,38.938
Croatia,2015,Male,Employment to population ratio,49.92
Croatia,2015,Female,Labour Force Participation Rate,46.86
Croatia,2015,Male,Labour Force Participation Rate,59.115
Croatia,2015,Female,Part Time Employment,28.99
Croatia,2015,Male,Part Time Employment,22.9
Croatia,2015,Female,Vulnerable Employment,9.089087517
Croatia,2015,Male,Vulnerable Employment,11.64094888
Cuba,2015,Female,Employment to population ratio,41.251
Cuba,2015,Male,Employment to population ratio,68.372
Cuba,2015,Female,Labour Force Participation Rate,42.345
Cuba,2015,Male,Labour Force Participation Rate,69.972
Cuba,2015,Female,Vulnerable Employment,17.27228967
Cuba,2015,Male,Vulnerable Employment,21.5987566
Cyprus,2015,Female,Employment to population ratio,49.014
Cyprus,2015,Male,Employment to population ratio,57.013
Cyprus,2015,Female,Labour Force Participation Rate,57.589
Cyprus,2015,Male,Labour Force Participation Rate,67.193
Cyprus,2015,Female,Part Time Employment,36.83
Cyprus,2015,Male,Part Time Employment,30.88
Cyprus,2015,Female,Vulnerable Employment,10.59522788
Cyprus,2015,Male,Vulnerable Employment,14.35233728
Czechia,2015,Female,Employment to population ratio,48.127
Czechia,2015,Male,Employment to population ratio,65.134
Czechia,2015,Female,Labour Force Participation Rate,51.244
Czechia,2015,Male,Labour Force Participation Rate,68.012
Czechia,2015,Female,Part Time Employment,34.87
Czechia,2015,Male,Part Time Employment,23.76
Czechia,2015,Female,Vulnerable Employment,10.91704288
Czechia,2015,Male,Vulnerable Employment,16.06485848
Denmark,2015,Female,Employment to population ratio,53.032
Denmark,2015,Male,Employment to population ratio,62.027
Denmark,2015,Female,Labour Force Participation Rate,56.737
Denmark,2015,Male,Labour Force Participation Rate,66.028
Denmark,2015,Female,Part Time Employment,53.53
Denmark,2015,Male,Part Time Employment,32.72
Denmark,2015,Female,Vulnerable Employment,3.664442302
Denmark,2015,Male,Vulnerable Employment,6.521665328
Djibouti,2015,Female,Employment to population ratio,11.495
Djibouti,2015,Male,Employment to population ratio,36.827
Djibouti,2015,Female,Labour Force Participation Rate,17.99
Djibouti,2015,Male,Labour Force Participation Rate,47.334
Djibouti,2015,Female,Vulnerable Employment,65.44136615
Djibouti,2015,Male,Vulnerable Employment,47.82072505
Dominican Republic,2015,Female,Employment to population ratio,42.737
Dominican Republic,2015,Male,Employment to population ratio,71.757
Dominican Republic,2015,Female,Labour Force Participation Rate,47.995
